variety_id,species,variety_name,scientific_name,chill_hours_min,chill_hours_max,self_fertile,pollinators,years_to_first_fruit_min,years_to_first_fruit_max,ripening_season,usda_zone_min,usda_zone_max,mature_height_ft_min,mature_height_ft_max,tree_spacing_ft_min,tree_spacing_ft_max,training_system,disease_notes,variety_notes,sources,source_notes,confidence,last_verified_date
peach_redhaven,peach,Redhaven,Prunus persica,800,900,TRUE,,3,4,early-to-mid August,4,8,12,16,15,20,open center,Moderately resistant to peach leaf curl; moderately susceptible to bacterial spot; resistant to leaf spot,Released by Michigan State University in 1940 (Dr. Stanley Johnston). Set the standard for freestone peaches. Vigorous grower that requires yearly thinning. Often planted as pollinator partner for other peaches even though self-fertile. Yields 50-100+ lbs on a mature tree.,Cummins Nursery; TreeCareZone; Monrovia; Food Forest Nursery; Stark Bros; One Green World; NatureHills,Zone range: most sources say 4-8; TreeCareZone and Food Forest Nursery list 5-9. Used 4-8 as the more conservative cold-end.,high,2026-04-24
peach_elberta,peach,Elberta,Prunus persica,800,950,TRUE,,3,4,late August to September,5,8,15,20,15,20,open center,Good disease resistance; resistant to brown rot,"Classic American heirloom from the 1870s. Large golden-yellow freestone peach with red blush. Perfect for fresh eating, baking, canning, and preserves. Heavy cropper requiring thinning for fruit size.",Stark Bros; Bates Nursery; Food Forest Nursery; Gardening Know How; Plant Me Green; Talbott Nursery; Epic Gardening,Chill hours commonly cited at 800-950 (some sources say 600-950 for Early Elberta); zone range typically 5-8 but Gardening Know How extends to 9.,high,2026-04-24
peach_reliance,peach,Reliance,Prunus persica,950,1050,TRUE,,2,3,mid-August,4,8,12,15,12,15,open center,Tolerant to peach leaf curl; standard peach pest/disease concerns otherwise,"Bred at University of New Hampshire in 1964 by Professor Meader specifically for cold-climate growing. Often called the most cold-hardy peach, hardy to approximately -25F. Flower buds especially hardy. Medium-to-large red-blushed yellow freestone. Fruit quality is rated good rather than great but reliability in harsh climates is unmatched. Mid-August in Southeast Wisconsin.",Stark Bros; Raintree Nursery; Grandpa's Orchard; Gardenia; Johnson's Nursery; Practical Self Reliance; Restoring Eden; Fast Growing Trees,Chill hours range 1000-1050 across most sources. Practical Self Reliance notes Contender is often preferred over Reliance for fruit quality where both will grow.,high,2026-04-24
peach_contender,peach,Contender,Prunus persica,1000,1050,TRUE,,2,3,mid-to-late August,4,8,12,15,15,20,open center,Excellent resistance to bacterial spot; susceptible to peach leaf curl,Released by NC State University in 1988. Received the American Society for Horticultural Science Outstanding Fruit Cultivar Award in 2014. The high chill requirement causes late bloom which reliably escapes spring frosts — a major advantage in zones 5-6. Large red-over-yellow freestone with yellow flesh and excellent aromatic flavor. Hardy to -40F per One Green World. Considered the best-quality cold-hardy peach.,Stark Bros; Cummins Nursery; Raintree Nursery; Johnson's Nursery; One Green World; Gurney's; Plant Me Green; Food Forest Nursery; Roots to Fruits,All sources strongly agree on fundamentals.,high,2026-04-24
peach_sam_houston,peach,Sam Houston,Prunus persica,500,600,TRUE,,2,3,mid-July,5,9,15,20,15,20,open center,Moderately resistant to peach leaf curl; moderately resistant to brown rot,"Released by Texas A&M in 1965. Parentage: July (Kim) Elberta x Floriberta. Medium-sized yellow freestone with small pit. Low chill requirement makes it excellent for southern states and areas with warm winters. Ripens 15 days before Elberta. Named for Sam Houston, first president of the Republic of Texas. Heavy producer — requires aggressive thinning in April.",Dave Wilson Nursery; Texas Pecan Nursery; Willis Orchards; Urban Harvest; Texas Tree Farms; Yarden; Legg Creek Farm; Food Forest Nursery,Zone range 5-8 per Dave Wilson; some low-chill sources extend to zone 9. Plant Me Green lists 7-9 as a warmer-climate preference.,high,2026-04-24
peach_harvester,peach,Harvester,Prunus persica,750,850,TRUE,,3,4,mid-July,5,8,12,15,15,20,open center,Moderately resistant to bacterial spot; standard peach pest/disease concerns,"Released by Texas A&M from the Prairie View, Texas breeding program. Semi-freestone, medium-sized yellow peach with red blush. Excellent fresh eating and canning. Moderate chill requirement makes it versatile across middle zones.",Dave Wilson Nursery; Texas Pecan Nursery; Stark Bros,Slightly less-documented than some varieties; pulled from consistent nursery catalog data. Chill hours commonly cited at 750-800.,medium,2026-04-24
peach_madison,peach,Madison,Prunus persica,850,950,TRUE,,2,3,late August,4,8,12,15,15,20,open center,Good tolerance to bacterial spot and brown rot,Released by Virginia Agricultural Experiment Station in 1963. Known for exceptional late frost tolerance and cold hardiness — excels in marginal peach areas. Medium-large freestone peach with bright red blush over orange skin. Minimally fibrous orange-yellow flesh. Heavy producer requiring thinning.,Grandpa's Orchard; Mehrabyan Nursery; 13 Point 3 Farms; Stark Bros,Frost tolerance is the standout attribute. Zone range widely cited as 4-8.,high,2026-04-24
peach_cresthaven,peach,Cresthaven,Prunus persica,800,950,TRUE,,2,4,late August,5,8,12,15,12,15,open center,Resistant to leaf spot; bacterial spot resistance,Released in 1963 by Michigan State University (South Haven). Large golden-yellow freestone with bright red blush and almost fuzzless skin. Firm yellow flesh resists browning — excellent for canning and freezing. Late bloom helps avoid spring frosts. Consistently well-reviewed for flavor and reliability.,Stark Bros; Food Forest Nursery; Mehrabyan Nursery; Tomorrow's Harvest; Plant Me Green; NC State Extension,Chill hours range 750-1000 across sources; used 800-950 as the consensus.,high,2026-04-24
peach_glohaven,peach,Glohaven,Prunus persica,800,900,TRUE,,3,4,August,5,8,12,15,15,20,open center,Resistant to bacterial spot; fruit resists browning,"Released from Michigan State University. Large, round, uniform freestone with attractive red mottling over yellow background. Flavorful yellow flesh is fuzzless and non-browning — excellent for canning. Grows well in western and midwestern states. Hangs well on the tree.",Stark Bros; Blue Hill Wildlife Nursery; Roots to Fruits Nursery,Less documented than some varieties but consistent data where available.,medium,2026-04-24
nectarine_fantasia,nectarine,Fantasia,Prunus persica var. nucipersica,500,600,TRUE,,3,4,late July to early August,5,9,15,20,15,20,open center,Slightly susceptible to bacterial spot; moderately resistant to brown rot,"Released by USDA in 1969 from Fresno, California. Parentage: Gold King x open-pollinated seedling of Red King. Large bright-red freestone with yellow flesh. Firm, juicy, tangy flavor — continues to sweeten when allowed to ripen on tree. One of the benchmark yellow-fleshed nectarines. Excellent adaptability across zones 5-9.",Cummins Nursery; Food Forest Nursery; Stark Bros; NatureHills; Epic Gardening; Bay Laurel Nursery,Chill hours: Cummins cites 500; Food Forest 500-600; Epic Gardening notes as low as 250 for some sources. Used 500-600 as consensus.,high,2026-04-24
