variety_id,species,variety_name,scientific_name,plant_type,days_to_maturity_min,days_to_maturity_max,sun_requirement,spacing_inches_min,spacing_inches_max,start_method,pinch_at_height_inches,stem_length_inches_min,stem_length_inches_max,bloom_size_inches_min,bloom_size_inches_max,vase_life_days_min,vase_life_days_max,cut_and_come_again,succession_interval_days,bloom_color,usda_zone_perennial_min,usda_zone_perennial_max,overwintering_method,variety_notes,sources,source_notes,confidence,last_verified_date
zinnia_benary_giant,zinnia,Benary's Giant Mix,Zinnia elegans,annual,75,90,full sun,9,9,indoor start,10,24,36,4,6,7,10,TRUE,21,"mix: red, orange, yellow, pink, white, lilac, lime, wine",,,Annual everywhere — pull plants after frost. Save seeds by fermenting if desired.,"Standard for specialty cut flower growers; endorsed by the Association of Specialty Cut Flower Growers (ASCFG). Bred by Ernst Benary, a German seed company founded 1843. Densely petaled double flowers with a high percentage of doubles. Disease-resistant compared to other zinnias. Holds up well in summer heat and rain. Harvest when stem is stiff (wiggle test — if the stem bends, not ready). Do NOT refrigerate. Add a few drops of bleach to vase water to combat murky water.",Floret Library; Johnny's Selected Seeds; Harris Seeds; Seed Savers Exchange; Uprising Seeds; Nature & Nurture Seeds,Floret Flowers is the authoritative cut flower source (Erin Benzakein wrote the defining specialty cut flower book). All sources agreed on fundamentals.,high,2026-04-24
dahlia_cafe_au_lait,dahlia,Café au Lait,Dahlia pinnata,tuberous perennial,80,100,full sun,12,18,tuber,12,36,48,8,10,4,5,TRUE,,cream-blush-champagne,8,10,"Dig tubers 1-2 weeks after first killing frost. Rinse soil, dry 24 hours, store in vermiculite or peat in a cool dark high-humidity location (crawl space or basement). Divide in spring before planting.",Most requested dahlia variety in the floral industry. Dinnerplate form (informal decorative). Massive ruffled blooms resemble pastel silk pillows; wedding industry staple. Stake at planting — blooms are heavy. Harvest when 3/4 open (dahlias do not continue opening after cut). Hot water treatment improves vase life (sear stems in 160-180F water for 1 hour). One tuber produces up to a dozen tubers per season.,Floret Library; White Flower Farm; Longfield Gardens; Sierra Flower Farm; DutchGrown; Bleeding Heart Flower Farm; The Kokoro Garden; Pith + Vigor,Vase life shorter than most cut flowers at 4-5 days — worth flagging to users. Bloom timing is notoriously unreliable (pro grower The Kokoro Garden cautions against promising dates).,high,2026-04-24
zinnia_oklahoma_salmon,zinnia,Oklahoma Salmon,Zinnia elegans,annual,75,90,full sun,9,9,indoor start or direct sow after frost,10,18,30,2,3,7,10,TRUE,21,salmon pink,,,Annual everywhere — pull plants after frost,"Oklahoma series has the highest percentage of reliable double blooms in cutting zinnias — more consistent than Benary's Giants or Zinderella series. Smaller 2-3"" blooms on 30"" stems — excellent ""filler"" companion to larger focal flowers. Mildew-resistant. Extremely prolific — single plant can yield a dozen stems at a time. Cooler pastel salmon color works with most color palettes.",Floret Library; Johnny's Selected Seeds; The Kokoro Garden; Lynsey Taulbee; Red Dirt Ramblings,Flower farmers universally cite Oklahoma series for reliability; Benary's Giant for size/drama; Queen series for unique colors.,high,2026-04-24
zinnia_queen_red_lime,zinnia,Queen Red Lime (Queeny series),Zinnia elegans,annual,75,90,full sun,9,12,indoor start or direct sow after frost,10,24,36,2,3,7,10,TRUE,21,dusty rose center fading to lime-green outer petals,,,Annual everywhere — pull plants after frost,"Queen/Queeny series has the most unique sophisticated color palette in zinnias — antique rose, plum, eggplant, lime blushes. Customer favorite for bouquets — the unusual coloration stands out. Not always fully double (some singles appear). Smaller 2-3"" blooms on good-length stems. Works in Victorian/moody color palettes.",Floret Library; Johnny's Selected Seeds; The Kokoro Garden; Lynsey Taulbee,Queen Red Lime specifically is often cited as THE standout zinnia for unique coloring.,high,2026-04-24
zinnia_benary_lime,zinnia,Benary's Giant Lime,Zinnia elegans,annual,75,90,full sun,9,12,indoor start or direct sow after frost,10,30,48,4,6,7,10,TRUE,21,Granny Smith apple green,,,Annual,"The iconic ""green flower"" — visually striking in mixed bouquets. Densely packed petals. Low mildew susceptibility. One of the tallest and strongest-stemmed zinnias (36-48""). 4-6"" dahlia-like blooms. Part of Benary's Giant series bred for cut flower production.",Floret Library; Hoss Tools; Territorial Seed; Epic Gardening,Green flowers are uncommon and highly sought after for designer work.,high,2026-04-24
zinnia_zinderella_peach,zinnia,Zinderella Peach,Zinnia elegans,annual,75,90,full sun,9,12,indoor start or direct sow after frost,10,24,36,2,3,7,10,TRUE,21,peach blush with scabiosa-like pincushion center,,,Annual,"Scabiosa-flowered zinnia with distinctive ""pincushion"" bicolor center. Unique novelty appeal. Variable form — not always fully scabiosa-shaped (some singles and partial doubles appear). Lower germination and less vigor than Benary's or Oklahoma. Grow several plants to get a few good blooms. Prized by designers for its cottage-garden character.",Floret Library; Johnny's Selected Seeds,Inconsistent form is well-documented — set user expectations accordingly.,high,2026-04-24
cosmos_cupcakes_blush,cosmos,Cupcakes Blush,Cosmos bipinnatus,annual,90,100,full sun,12,12,indoor start or direct sow after frost,12,24,36,3,4,4,6,TRUE,,soft blush pink,,,Annual — but reseeds readily in warm climates,"Fused fluted petals form a distinctive ""teacup"" shape — petals look cut with pinking shears. Palm-sized blooms. Floret favorite and widely praised. Plants grow to 4 feet — stake or net for support. Harvest when buds just cracking open for best vase life. Extremely productive — more you cut, more you get. Bury stems deep like tomatoes for stronger roots and less flopping.",Floret Library; Floret Flower Farm; Johnny's Selected Seeds; Floret blog,"Single plants described as ""flower bushes"" by growers — very productive. Vase life is short-term limitation.",high,2026-04-24
cosmos_double_click_mix,cosmos,Double Click Mix,Cosmos bipinnatus,annual,75,90,full sun,12,12,indoor start or direct sow after frost,10,24,36,2,3,5,6,TRUE,,"mix: rose, blush, cranberry, white",,,Annual,Double-flowered form — fluffier and longer-lasting than single cosmos. Earlier to bloom than Cupcakes (75 vs 90 days). Shorter plants (3-4 ft) than some cosmos. Mix gives color variety from one packet. Harvest when half-open for best vase life on doubles.,Floret Library; Johnny's Selected Seeds; Floret blog,Double forms last slightly longer in vase than singles.,high,2026-04-24
cosmos_seashells,cosmos,Seashells Mix,Cosmos bipinnatus,annual,75,90,full sun,12,12,indoor start or direct sow after frost,10,24,36,3,4,5,6,TRUE,,"pastel mix: pink, rose, white, carmine with bicolors",,,Annual,Distinctive tubular/fluted petals resembling seashells — unique form. Single-flowered (not double). Large showy blooms in pastel mix. Strong producer. Adds unusual texture to bouquets. Tied with Purity as classic cosmos varieties.,Floret Library; Floret Flower Farm,Fluted/tubular petal form is the defining character.,high,2026-04-24
cosmos_rubenza,cosmos,Rubenza,Cosmos bipinnatus,annual,75,90,full sun,12,12,indoor start or direct sow,10,24,36,2,3,5,6,TRUE,,deep ruby red fading to dusty pink with age,,,Annual,"Uniquely dark cosmos — almost red/burgundy at full bloom, fading through rose and blush as flowers age. Each flower shows multiple colors simultaneously on the plant. Customer favorite for moody/autumn bouquets. Works beautifully with Queen Red Lime zinnias and dahlias.",Floret Library; Johnny's Selected Seeds,One of the few truly red cosmos — fills a niche in most color palettes.,high,2026-04-24
snapdragon_chantilly_mix,snapdragon,Chantilly Mix,Antirrhinum majus,tender perennial (grown as annual),110,130,full sun to part shade,6,9,indoor start 10-12 weeks before last frost,6,30,42,1,2,7,14,TRUE,,"mix: bronze, peach, pink, purple, red, white, yellow",7,10,"In zones 7+ with mulch, plants may survive winter and bloom earlier next year. Treat as annual in colder zones. Fall planting in Southern climates (overwinter with protection) yields longest stems.","OPEN-FACED azalea-flowered snapdragon — no ""jaws"" to snap. Tall spires (30-42"") with dozens of florets. Chantilly is a Group II snapdragon (cool-season tolerant). Extremely long vase life (up to 2 weeks). Flowers from bottom up — harvest when 1/3 to 1/2 open. Pinch at 6"" for branching. Cool-season flower — plant in spring (zone 5-7) or fall-overwinter (zone 7-9) for best stem length.",Floret Library; Johnny's Selected Seeds; Sakata Ornamentals,"Snapdragon Group I/II/III/IV classification refers to temperature and daylength response — Group II (Chantilly, Madame Butterfly) is most adaptable to home gardens.",high,2026-04-24
snapdragon_madame_butterfly,snapdragon,Madame Butterfly Mix,Antirrhinum majus,tender perennial (grown as annual),110,130,full sun to part shade,6,9,indoor start 10-12 weeks before last frost,6,24,36,1,2,7,14,TRUE,,"mix: red, rose, yellow, bronze, white",7,10,Treat as annual in cold zones; may overwinter in zone 7+,"Double-azalea-flowered snapdragon — fully doubled open-faced blooms. Showy ""ruffled"" look. Group II (cool-season). Slightly shorter than Chantilly. Long vase life. Excellent alternative when you want doubles instead of the more architectural single-flowered Chantilly.",Floret Library; Johnny's Selected Seeds,Double-flowered form is the main difference from single Chantilly.,high,2026-04-24
snapdragon_rocket,snapdragon,Rocket Mix,Antirrhinum majus,tender perennial (grown as annual),100,120,full sun to part shade,6,9,indoor start 8-10 weeks before last frost,6,30,36,1,2,7,10,TRUE,,"mix: bronze, cherry, pink, red, yellow, white",7,10,Treat as annual in cold zones,"Traditional ""snapping jaws"" snapdragon — the classic form children love to play with. Group III (heat-tolerant) — better for summer bloom in warm climates where Chantilly/Madame Butterfly struggle. Tall strong stems. Solid colors with traditional snapdragon form. Workhorse cutting variety.",Johnny's Selected Seeds; Park Seed,Heat tolerance (Group III) makes this the summer snap for mid-Atlantic and Southern gardeners.,high,2026-04-24
snapdragon_potomac,snapdragon,Potomac Appleblossom,Antirrhinum majus,tender perennial (grown as annual),120,140,full sun,6,9,indoor start 10-12 weeks before last frost,6,36,48,1,2,7,14,FALSE,,soft pink with cream throat,7,10,Requires overwintering in zone 7+ for best stems — these are Group IV long-day snapdragons,"Group IV snapdragon — requires long days to flower. Commercial cut-flower quality — tallest stems (36-48""). Single central spike (not branching) — cut the main stem as the entire harvest. Must be fall-planted and overwintered in zone 7+ for proper flowering. Not suitable for spring planting in northern climates. Professional-grade choice for market growers.",Johnny's Selected Seeds; Sakata Ornamentals,Group IV requires specific timing — not a beginner variety. Single-cut habit is important to understand.,high,2026-04-24
sunflower_procut_orange,sunflower,ProCut Orange,Helianthus annuus,annual,55,65,full sun,6,9,direct sow after frost,,48,60,5,6,7,10,FALSE,10,deep golden orange with dark center,,,Annual — pull plants after harvest,"THE benchmark commercial cut flower sunflower. POLLENLESS — F1 hybrid that does not shed pollen, so no mess on tablecloths and longer vase life. Single-stem (not branching) — one plant produces one flower. Succession plant every 7-10 days for continuous harvest. ProCut series bred specifically for cut flower production. Uniform timing makes bulk harvesting easy.",Floret Library; Johnny's Selected Seeds; Sakata Ornamentals,Pollenless (male-sterile) is the critical feature separating commercial cut flower sunflowers from home garden types — no yellow pollen stains.,high,2026-04-24
sunflower_procut_white_lite,sunflower,ProCut White Lite,Helianthus annuus,annual,55,65,full sun,6,9,direct sow,,48,60,4,6,7,10,FALSE,10,creamy white with dark chocolate center,,,Annual,Pollenless white/cream sunflower. Part of ProCut series — reliable uniform single-stem production. Dark chocolate center provides striking contrast. White sunflowers are rare — designers love them for wedding work. Succession plant every 7-10 days.,Floret Library; Johnny's Selected Seeds,White/cream sunflower niche — premium variety for floral designers.,high,2026-04-24
sunflower_autumn_beauty,sunflower,Autumn Beauty,Helianthus annuus,annual,65,75,full sun,12,18,direct sow,,48,72,5,8,5,7,TRUE,,"mix: yellow, gold, mahogany, bronze, bicolors",,,Annual — leave seed heads for birds if desired,"BRANCHING multi-stem sunflower — one plant produces 6-10 smaller blooms over the season. Heirloom. Rich autumn color palette: yellows, golds, bronzes, mahogany, bicolors. NOT pollenless — classic sunflower that sheds pollen. Shorter vase life than pollenless types. Great for pollinators and seed-saving. Good choice when you want one planting that produces all summer rather than succession planting.",Baker Creek; Johnny's Selected Seeds; Territorial Seed,"Branching habit is trade-off: one planting vs many, but pollen and shorter vase life.",high,2026-04-24
sunflower_teddy_bear,sunflower,Teddy Bear,Helianthus annuus,annual,60,70,full sun,9,12,direct sow,,18,24,3,5,5,7,TRUE,,bright golden yellow,,,Annual,"Fully DOUBLE fluffy sunflower — looks like a pom-pom or dahlia. Dwarf plant (only 2-3 feet tall) — excellent for small spaces, containers, and children's gardens. No visible central disk — all petals. Branching. Bright cheery color. Short-stemmed limits cut flower use but perfect for kids and container growing.",Johnny's Selected Seeds; Burpee; Baker Creek,Dwarf form for containers and children's gardens — not a typical cut flower due to short stems.,high,2026-04-24
sunflower_mammoth,sunflower,Mammoth,Helianthus annuus,annual,80,110,full sun,24,36,direct sow,,96,144,10,16,3,5,FALSE,,classic golden yellow with brown center,,,Annual — harvest seed heads for birds or replant,"Classic giant heirloom sunflower — 8-12 feet tall, 10-16 inch flower heads. Not primarily a cut flower (too big for most vases) but grown for seeds and as a garden showpiece. Heavy seed production — excellent for wildlife and human snacking. Single massive flower per plant. Support in windy areas.",Baker Creek; Burpee; Johnny's Selected Seeds,Primarily a seed/showpiece variety — included for completeness of sunflower choices.,high,2026-04-24
dahlia_cornel_bronze,dahlia,Cornel Bronze,Dahlia pinnata,tuberous perennial,90,120,full sun,18,24,plant tubers after frost (soil 60F+),12,18,24,3,4,5,7,TRUE,,warm bronze-copper,8,10,"Dig tubers 1-2 weeks after killing frost. Rinse, dry 24 hours, divide if needed, store in vermiculite/peat moss in cool dark humid location (40-50F).","BALL dahlia form — tightly packed round blooms, much longer vase life than dinnerplates. Warm copper-bronze color pairs with everything. Prolific bloomer. Ball-form dahlias are the workhorse cut flower dahlias — reliable, productive, long-lasting in vase. 3-4"" perfect round form.",Floret Library; Longfield Gardens; Swan Island Dahlias,Ball form = longer vase life than dinnerplate form. Essential distinction for cutting garden.,high,2026-04-24
dahlia_linda_baby,dahlia,Linda's Baby,Dahlia pinnata,tuberous perennial,90,120,full sun,18,24,plant tubers after frost,12,18,24,2,3,5,7,TRUE,,soft pink,8,10,Dig and store tubers as with all dahlias,"Pom-pom / miniature ball form — small 2-3"" perfect spheres. Wildly popular with designers — works in everything from bridal bouquets to casual arrangements. Long stems relative to bloom size. Extremely prolific. One of the most reliable and easy-to-use dahlias for beginners.",Floret Library; Swan Island Dahlias,Pom-pom form has smallest blooms but highest stem count per plant.,high,2026-04-24
