variety_id,species,variety_name,scientific_name,plant_type,days_to_maturity_min,days_to_maturity_max,sun_requirement,spacing_inches_min,spacing_inches_max,row_spacing_inches,start_method,plants_per_sqft,growth_habit,mature_height_inches_min,mature_height_inches_max,first_harvest_year,productive_lifespan_years_min,productive_lifespan_years_max,usda_zone_min,usda_zone_max,disease_resistance,companion_notes,variety_notes,sources,source_notes,confidence,last_verified_date
tomato_cherokee_purple,tomato,Cherokee Purple,Solanum lycopersicum,annual,70,90,full sun,18,24,36,indoor start,1,indeterminate,48,72,,,,,,Some tolerance to early blight; susceptible to late blight; prone to cracking if watering is inconsistent,"Plant deep to encourage root growth. Add calcium (lime, eggshells, or bone meal) at planting to prevent blossom end rot. Rotate out of Solanaceae (tomato/pepper/eggplant/potato) for 4 years between plantings.",Heirloom from Tennessee. Seeds reportedly passed down through the Cherokee tribe. Introduced to commerce in 1990 by Craig LeHoullier. 12-16 oz dusky pink fruit with deep red-purple interior and green shoulders. Consistently wins taste tests. Yields ~20 fruits per plant. Vigorous vines require staking or caging.,Victory Seeds; Bonnie Plants; Pinetree Garden Seeds; St. Clare Heirloom Seeds; Nature & Nurture Seeds; Almanac Planting,"Days to maturity varies by source based on whether counted from seed or transplant: 70-75 from transplant, 80-90 from seed. Used 70-90 to span both.",high,2026-04-24
tomato_brandywine,tomato,Brandywine,Solanum lycopersicum,annual,78,100,full sun,24,36,48,indoor start,1,indeterminate,60,108,,,,,,Susceptible to most common tomato diseases; relatively demanding variety,"Requires rich soil, consistent water, and patient growing. Rotate out of Solanaceae family for 4 years.","Classic Amish heirloom dating to 1880s from Chester County, PA. Potato-leaf foliage distinguishes the true Brandywine. Large 1-2 lb pink beefsteak fruits with rich, complex, sweet-tart flavor widely considered the benchmark for heirloom tomato flavor. Low yield (6-10 fruits per plant) but exceptional quality. Portland Nursery taste test rates 5/5 stars. Moderate disease resistance — prefers cooler climates.",Johnny's Selected Seeds; Baker Creek; Seed Savers Exchange; Victory Seeds; Tomato Dirt; Home for the Harvest; Portland Nursery,"Brandywine has several strains (Sudduth's, OTV, Yellow, Red) — default referenced here is the classic pink strain.",high,2026-04-24
tomato_sungold,tomato,Sungold,Solanum lycopersicum,annual,57,65,full sun,18,24,36,indoor start,1,indeterminate,72,120,,,,,,Resistant to fusarium wilt and tobacco mosaic virus; prone to cracking in wet weather,Heavy producer — pick frequently to maintain production. Thin interior foliage to prevent cracking.,"F1 hybrid released by Tokita Seed Company (Japan). Widely considered the best-flavored cherry tomato — intensely sweet golden-orange fruit with tropical fruity notes. Crack-prone (pick at first sign of blush). Extremely productive all season. Fruit hangs in long trusses. Once tried, most gardeners grow it every year. NOTE: Open-pollinated Sunrise Bumble Bee and related varieties are often marketed as alternatives but don't match Sungold flavor.",Johnny's Selected Seeds; Baker Creek; Territorial Seed; Totally Tomatoes; Sierra Vista Growers,F1 hybrid — seeds won't come true from saved seed. Sungold's flavor is consistently cited as its defining feature.,high,2026-04-24
tomato_san_marzano,tomato,San Marzano,Solanum lycopersicum,annual,75,85,full sun,24,36,48,indoor start,1,indeterminate,60,72,,,,,,Prone to blossom end rot — maintain consistent watering and calcium; good general disease resistance,Requires consistent even watering to avoid blossom end rot. Mulch heavily. Rotate Solanaceae for 4 years.,"Italian heirloom from volcanic soils near Mt. Vesuvius, in cultivation since the 16th century. DOP-protected Italian paste tomato — the benchmark sauce/pizza tomato. Long 3-4 oz plum-shaped fruit with pointed ends. Thick dry low-acid flesh with few seeds. Strips easily for peeling. ""San Marzano II"" is the widely-available improved strain. Note: eats bland fresh; shines when cooked. Highly susceptible to blossom end rot.",High Mowing Seeds; Mary's Heirloom Seeds; David's Garden Seeds; The Gardener's Workshop; Thresh Seed Co,Original San Marzano is a determinate variety; San Marzano II and other improved strains are mostly indeterminate. Specified indeterminate as the common available form.,high,2026-04-24
tomato_amish_paste,tomato,Amish Paste,Solanum lycopersicum,annual,80,85,full sun,36,48,60,indoor start,1,indeterminate,60,84,,,,,,Better disease resistance than San Marzano; notably less prone to blossom end rot,Provide sturdy support — vines are vigorous and fruit-laden. Rotate out of Solanaceae for 4 years.,"Heirloom originating in Wisconsin around 1870, discovered in Lancaster PA Amish community, commercialized 1990. Slow Food Ark of Taste listed. Large 8-12 oz oxheart/oblong paste tomato — twice the size of Roma. Meaty, few-seeded, coreless. Juicier and sweeter than San Marzano — excellent fresh AND for sauces. Portland Nursery rates flavor 4.4/5 vs San Marzano 3.3/5. Yields 20-40 lbs per plant; exceptional plants hit 99 lbs.",Thresh Seed Co; Prairie Road Organic; Mary's Heirloom Seeds; Ask the Food Geek; Lee Reich,Consistently rated best-flavored paste tomato by multiple sources. Strong recommendation for gardeners who want one dual-purpose paste/slicer.,high,2026-04-24
tomato_better_boy,tomato,Better Boy,Solanum lycopersicum,annual,70,75,full sun,24,36,48,indoor start,1,indeterminate,60,96,,,,,,"Resistant to verticillium wilt (V), fusarium wilt (F), and nematodes (N); some strains also resist late blight",Dense foliage protects fruit from sunscald. Rotate Solanaceae crops.,F1 hybrid bred in California in the 1960s — improved version of Big Boy. All-America Selections winner. 12-16 oz globe-shaped red slicer with classic balanced tomato flavor. Holds Guinness World Record (single plant produced 340+ lbs). Extremely reliable producer — dependable even in challenging conditions. Not suited for containers due to size. Indeterminate vines grow to 8-10 feet on strong support.,Victory Seeds; Better Boy (Wikipedia); Sierra Vista Growers; Gardening Know How; Home for the Harvest; David's Garden Seeds,Reliable reliable workhorse hybrid — recommended over heirlooms for beginner gardeners who want consistent yields.,high,2026-04-24
tomato_early_girl,tomato,Early Girl,Solanum lycopersicum,annual,50,62,full sun,24,36,48,indoor start,1,indeterminate,60,84,,,,,,Resistant to verticillium wilt (V) and fusarium wilt (F),Rotate out of Solanaceae. Water deeply and consistently for best fruit quality.,F1 hybrid popular for short-season areas and impatient gardeners. Among the earliest-maturing slicers at 50-60 days. Medium 4-8 oz red round fruit with good tangy flavor. Reliable producer in cooler/northern climates. Often the first tomato to ripen in the garden. Pairs well with later-ripening heirlooms to extend harvest season.,Burpee; Baker Creek; Johnny's Selected Seeds; Territorial Seed,Standard early variety — reliable data across sources.,high,2026-04-24
pepper_california_wonder,pepper,California Wonder,Capsicum annuum,annual,70,80,full sun,18,24,30,indoor start,1,bushy upright,24,30,,,,,,Tobacco Mosaic Virus resistance (TMR) in improved strains like California Wonder 300 TMR,Rotate out of Solanaceae family for 3-4 years. Interplant with basil or tomatoes for companion benefits. Plant when nights reach 60F.,"Heirloom introduced in 1928 — established the standard for American bell peppers. Large thick-walled 4-inch blocky 4-lobed fruit — excellent for stuffing. Green when immature, ripens to sweet red. 0 Scoville (no heat — capsaicinoid pathway switched off). Yields 6-8 peppers per plant. Classic choice for home gardens. California Wonder 300 TMR is the improved Tobacco Mosaic-resistant strain widely sold today.",Plant Addicts; Urban Farmer; Botanical Interests; Thresh Seed Co; PepperScale; Mint2Grow,1928 introduction date and thick walls for stuffing are defining features.,high,2026-04-24
pepper_jalapeno,pepper,Jalapeño,Capsicum annuum,annual,70,85,full sun,12,18,24,indoor start,1,bushy upright,24,36,,,,,,Generally hardy; some strains resist TMV; widely adaptable,"Rotate Solanaceae. Good companion for basil, carrots, cucumbers, eggplants, oregano, parsley. Avoid planting near beans, cabbage, kale, fennel.","Named for Jalapa, Mexico — the most popular chile pepper in the United States. 3-inch thick-walled moderately hot pods with deep green color maturing to red. 2,500-8,000 Scoville heat units (SHU) — the reference point on the heat scale. Heat varies even on the same plant: stressed plants produce hotter fruit. Widely adaptable in dry/humid and hot/cool climates. Excellent in containers. Smoked red ones = chipotle. First pepper in space (1982).",Bonnie Plants; PepperScale; True Leaf Market; Wildrose Heritage,"2,500-8,000 SHU is the standard reference point used across all pepper scale comparisons.",high,2026-04-24
pepper_shishito,pepper,Shishito,Capsicum annuum,annual,60,75,full sun,12,18,24,indoor start,1,bushy upright,24,36,,,,,,Prone to blossom end rot (add lime at transplanting); susceptible to Tobacco Mosaic Virus,Lime at planting to prevent blossom end rot. Consistent watering essential. Harvest frequently to encourage continued production.,"Japanese heirloom — a cultivar of the Spanish Padrón pepper. Name from ""shishi"" (lion). Thin-walled wrinkled 2-4 inch green pepper ripens to red. 50-200 SHU typically — the ""Shishito roulette"" means roughly 1 in 10 fruits can hit 1,000 SHU unexpectedly (still mild vs Jalapeño). Most-often eaten green, grilled/fried whole as appetizer with sea salt. Fast to mature from transplant. Highly productive — pick often.",Gardening Chores; Cultivated Earth; Thresh Seed Co,Shishito heat variability is a defining feature — environmental stress increases capsaicin production.,high,2026-04-24
pepper_poblano,pepper,Poblano/Ancho,Capsicum annuum,annual,75,90,full sun,18,24,36,indoor start,1,bushy upright,30,42,,,,,,TMV-resistant strains available (Trident); generally hardy in warm climates,Plant 3-4 feet from other plants — they grow LARGE. Rotate Solanaceae for 3-4 years.,"Mexican heirloom from Puebla region. Same pepper, two names: POBLANO when fresh green (fresh use, stuffed for chiles rellenos), ANCHO when dried (deep brick red, used for chili powder and mole). 4-5 inch broad slightly flattened heart-shaped fruit. 1,000-1,500 SHU — mild heat, rich earthy sweet flavor with smoky notes when dried. Flavor deepens and heat increases as fruit ripens from green to red on plant. Substitute when recipes call for Jalapeño and you want less heat.",Victory Seeds; Bonnie Plants; Fedco; John Scheepers; PepperScale; White Harvest; Annies Heirloom,Green/red + fresh/dried name distinction (Poblano vs Ancho) is a common point of confusion for home cooks.,high,2026-04-24
pepper_habanero,pepper,Habanero,Capsicum chinense,annual,90,120,full sun,18,24,36,indoor start,1,bushy upright,24,48,,,,,,Generally disease resistant; prefers hot humid conditions,Needs 100+ days of full sun. Start indoors 8-10 weeks before last frost. WEAR GLOVES when handling ripe fruit — capsaicin oil burns skin.,"Native to Yucatan, Mexico. Thin-walled 1-1.5 inch wrinkled lantern-shaped fruit ripens from green to golden orange (or red, chocolate, white). 100,000-350,000 SHU — among the hottest common peppers (1,000x hotter than Jalapeño reference). Fruity citrus flavor with floral aroma beneath the intense heat. Long growing season — needs heat. Often grown as perennial in zones 9-11. Essential for Caribbean sauces and Yucatecan cuisine.",Smart Gardener; MasterClass; True Leaf Market,Heat level and the 1000x-jalapeno comparison are key orientation facts for casual users.,high,2026-04-24
pepper_serrano,pepper,Serrano,Capsicum annuum,annual,75,85,full sun,12,18,24,indoor start,1,bushy upright,24,36,,,,,,Generally hardy; susceptible to powdery mildew in humid conditions,"Good companion for basil, carrots, cucumbers, oregano, parsley. Avoid fennel and kohlrabi. Stake as needed.","Second-most-popular Mexican pepper after Jalapeño. Smaller (3-4 inch) and thinner than Jalapeño but HOTTER — 8,000-23,000 SHU (3-10x Jalapeño). Bright fresh grassy flavor with juicy flesh. Essential for authentic pico de gallo, salsa, and guacamole. Ripens green to red (also orange/yellow/brown variants). Cut with scissors to harvest — delicate stems. Produces heavily once started.",Pepper Joe's; Bank on Seeds; Gardeners Basics; MasterClass; Gardener's Path; OSC Seeds,Heat roughly 3x hotter than Jalapeño — important calibration when substituting in recipes.,high,2026-04-24
pepper_cayenne,pepper,Cayenne,Capsicum annuum,annual,70,80,full sun,12,18,24,indoor start,1,bushy upright,18,30,,,,,,Heat and humidity tolerant; generally pest-resistant,Tolerates hot humid weather better than most peppers. Good in containers. Harvest full-size for full heat.,"Long thin 5-6 inch wrinkled red chili. 30,000-50,000 SHU — significantly hotter than Jalapeño and Serrano. Won't be hot when small — must reach full 5-6 inch size. Primary ingredient in Cayenne powder (dried, ground). Essential for Creole and Cajun cooking (gumbo, crayfish). Can substitute for Serrano, Jalapeño, or Habanero depending on heat desired. Produces all summer; tolerant of hot humid weather.",Bonnie Plants; True Leaf Market; Wildrose Heritage,"Heat builds as peppers mature — pick small for milder flavor, full-size for full heat.",high,2026-04-24
basil_genovese,basil,Genovese,Ocimum basilicum,annual,60,90,full sun,8,12,18,indoor start or direct sow,2,bushy upright,24,30,,,,,,"Susceptible to downy mildew and fusarium wilt — look for resistant strains (Prospera series, Nufar, Aroma 2)","Classic companion for tomatoes — plant together for mutual benefit. Pinch growing tips at 4-6"" tall to encourage bushing. Damaged by temperatures below 50F.","Italian heirloom originating near Genoa. THE traditional pesto basil. Large dark green glossy spoon-shaped leaves with sweet peppery flavor and notes of anise, clove, and mint. Slow to bolt in heat and doesn't become bitter with age. More aromatic than generic sweet basil. Harvest full plant 4-6"" above ground just before flowering for second growth. Flowers are edible and intensely flavored.",Johnny's Selected Seeds; Fedco; High Mowing Seeds; Urban Farmer; Gardener's Path; Gardening Know How,"Improved strains (Prospera, Nufar) have better disease resistance than classic Genovese.",high,2026-04-24
basil_thai,basil,Thai (Siam Queen),Ocimum basilicum var. thyrsiflora,annual,60,80,full sun,10,12,18,indoor start or direct sow,2,bushy upright,18,24,,,,,,Less susceptible to downy mildew than sweet basil — good choice for humid climates,Same companion rules as other basils. Consistent moisture and heat needed.,"Distinct from sweet (Genovese) and holy basil — Thai basil has a spicy anise/licorice flavor essential for authentic Thai, Vietnamese, and Malaysian cuisine. Purple stems and flower spikes. Narrower pointed leaves. Siam Queen is the most popular cultivar — 1997 All-America Selections winner. Seeds have lower germination (~75%) — plant extra. Holds up to stir-fry heat better than sweet basil.",Gardener's Path; Johnny's Selected Seeds,"Three main basil categories: sweet (O. basilicum), Thai (var. thyrsiflora), holy/tulsi (O. tenuiflorum) — different species entirely.",high,2026-04-24
basil_holy_tulsi,basil,Holy Basil (Tulsi),Ocimum tenuiflorum,tender perennial (grown as annual in cold climates),60,90,full sun,10,12,18,indoor start,2,bushy,12,24,,,,10,11,More drought and pest resistant than sweet basil,Sacred in Hindu tradition — often grown near homes. Very attractive to pollinators.,"Different species (Ocimum tenuiflorum) from sweet and Thai basils. Hint of clove and citrus. Sacred herb in Hindu Ayurvedic tradition — used for tea rather than culinary dishes. Three main types: Rama (green), Krishna (purple), Vana (wild). More drought-tolerant than sweet basil. Attractive to bees and butterflies.",Gardener's Path; Johnny's Selected Seeds,Primarily a medicinal/tea herb rather than culinary.,high,2026-04-24
rosemary_arp,rosemary,Arp,Salvia rosmarinus,perennial,85,100,full sun,24,36,36,cutting or transplant (seed slow and unreliable),1,upright woody shrub,36,60,2,10,30,6,10,Drought tolerant; disease resistant once established. Avoid wet feet — root rot is primary killer,"Classic companion for cabbage, beans, carrots. Repels bean beetles and carrot flies. Loves sandy well-drained soil.","Hardiest rosemary variety — survives zone 6 winters (-10F) where typical rosemary dies. Selected in Arp, Texas. Excellent culinary flavor — piney and resinous. Grow in full sun with sharp drainage — wet clay soil kills it. Prune regularly to prevent legginess. Tolerates heat and drought once established.",Johnny's Selected Seeds; Richters Herbs; Mountain Valley Growers,Zone 6 hardiness is the defining feature — most rosemary is zone 7+.,high,2026-04-24
thyme_english,thyme,English Thyme,Thymus vulgaris,perennial,70,95,full sun,12,18,24,indoor start or transplant (seed slow),1,low spreading shrub,6,12,1,4,10,4,9,Very drought tolerant; disease resistant. Rejuvenate every 3-4 years by dividing or replacing,"Great companion for cabbage family (repels cabbage worms), eggplant, strawberries. Drought-tolerant — ideal for rock gardens.","The classic culinary thyme. Small gray-green leaves with warm earthy flavor. Hardy in zone 4-5 with snow cover. Excellent for Mediterranean cuisine, roasted meats, bouquet garni. Harvest before flowering for peak flavor. Easy to propagate from cuttings. Gets woody over time — replace every 3-4 years.",Johnny's Selected Seeds; Richters Herbs; Burpee,Hardy and forgiving — great beginner perennial herb.,high,2026-04-24
oregano_greek,oregano,Greek Oregano,Origanum vulgare subsp. hirtum,perennial,80,100,full sun,12,18,24,indoor start or cutting,1,spreading shrubby herb,12,24,1,5,10,4,9,Drought tolerant; disease resistant; minimal pest issues,"Excellent companion for peppers, tomatoes, and brassicas. Attracts beneficial insects and pollinators when flowering.","The TRUE culinary oregano with strong pungent flavor — essential distinction from common Origanum vulgare (sold generically as ""oregano"") which is far less flavorful. Small fuzzy gray-green leaves with white flowers. Hardy zone 4+. Spreads slowly. Harvest just before flowering for peak potency. Dried oregano has stronger flavor than fresh — one of few herbs this is true for.",Johnny's Selected Seeds; Mountain Valley Growers; Richters Herbs,Subspecies hirtum (Greek) is distinct from common oregano — flavor difference is dramatic.,high,2026-04-24
sage_common,sage,Common Garden Sage,Salvia officinalis,perennial,75,90,full sun,18,24,24,indoor start or cutting,1,upright woody shrub,18,30,1,3,5,4,10,Drought and heat tolerant; minimal pest issues; root rot in wet soil,"Good with rosemary, cabbage family, carrots, strawberries. Repels cabbage moths and carrot flies. Avoid planting near cucumbers.","Essential herb for stuffings, poultry, sausage, and Italian dishes. Gray-green velvety leaves with strong savory flavor. Purple flowers attract pollinators. Pine well-drained neutral-to-alkaline soil. Becomes woody after 3-5 years — replace for best flavor. Prune back hard after flowering. Drought tolerant once established.",Johnny's Selected Seeds; Burpee; Richters Herbs,"Purple, golden, and tricolor varieties available but common green sage has best culinary flavor.",high,2026-04-24
