variety_id,species,variety_name,scientific_name,crop_type,sugar_genetic_type,days_to_maturity_min,days_to_maturity_max,ear_length_inches_min,ear_length_inches_max,plant_height_ft_min,plant_height_ft_max,rows_per_ear_min,rows_per_ear_max,plant_spacing_inches,row_spacing_inches_min,row_spacing_inches_max,min_block_rows,isolation_requirement,use_types,soil_temp_minimum_f,open_pollinated_or_hybrid,disease_resistance,variety_notes,sources,source_notes,confidence,last_verified_date
corn_silver_queen,corn,Silver Queen,Zea mays,sweet,su,88,92,8,9,8,9,14,16,11,30,36,4,200 feet from sh2 (supersweet) varieties OR stagger planting 10+ days,fresh eating; canning; freezing,60,hybrid,"Resistant to Southern Leaf Blight, Northern Leaf Blight, and Stewart's Wilt","Released 1955; set the standard for white sweet corn. Late-season variety. Tender, small, creamy-white kernels with old-fashioned corny flavor. 14-16 rows on 8-9 inch ears. Tight husks help keep corn worms to a minimum. CRITICAL: su corn converts sugars to starch quickly at ambient temperature; cool ears immediately after harvest. Best for fresh use within 3-5 days. Freezes well. Treated seed (fungicide coating) is standard for commercial packets — check package if organic is required.",Gurney's; Territorial Seed; Hancock Seed; Holmes Seed; John Scheepers; Pinetree; HOSS; True Leaf Market; Ferry-Morse,Days-to-maturity ranges 84-92 across sources based on climate; used 88-92 as most common. Planting in blocks (not rows) is essential for wind pollination — every source emphasizes this.,high,2026-04-24
corn_painted_mountain,corn,Painted Mountain,Zea mays var. amylacea,flour,,85,100,6,12,4,6,8,12,12,30,36,4,1 mile from other corn varieties OR staggered timing (10+ days) OR caging,flour/cornmeal (primary); fresh roasting at milk stage; ornamental,60,open-pollinated,Drought tolerant; cold tolerant; wind tolerant; vigorous at high altitudes and in short-season climates,"Bred by Dave Christensen in Big Timber, Montana since 1970. Developed from 70-100 Native American heirloom corns. Multi-colored kernels in gold, orange, red, pink, blue, purple, white, and maroon — every ear is different. Soft flour starch grinds easily (unlike flint). 13% protein, exceptional for open-pollinated corn. Rich in anthocyanins in colored kernels. Often called the hardiest and fastest-maturing grain corn in the world. Leave ears on plant until husks are fully dry; picking early causes mold in storage. Buy direct from Victory Seeds or Fedco to support the ongoing breeding work.",Victory Seeds; Fedco; Seeds Trust; Hardy Seeds; RareSeeds; True Leaf Market; Alliance of Native Seedkeepers; Specialty Produce,"Timing varies significantly by climate: 70 days in warm climates, 90+ in cold mountain climates. Used 85-100 as reasonable range. Sugar type blank because it's a flour corn — su/se/sh2 classification applies only to sweet corn.",high,2026-04-24
corn_bodacious,corn,Bodacious RM,Zea mays,sweet corn,se (sugar enhanced),72,80,8,8,6,7,16,18,10,30,36,4,Isolate from su/sh2/field/flour/popcorn by 200+ feet or 12+ days apart in planting; se varieties do not need isolation from other se types,fresh eating; freezing,60,F1 hybrid,Resistant to Maize Dwarf Mosaic Virus (MDMV) and common rust; tolerant to Stewart's Wilt,"Bold flavor for a bold name. Yellow 8"" ears with 16-18 rows of exceptionally sweet corny tender kernels. Benchmark SE variety for home gardens — consistent favorite among market growers. RM = Rust and Mosaic Virus resistance (improved from original Bodacious). Can be a fussy germinator — wait for warm soil. Holds quality a week at maturity.",Fedco; Territorial Seed; LSU AgCenter; Ferry-Morse,"Universally cited as benchmark SE sweet corn; ""RM"" suffix indicates disease-resistant improved version.",high,2026-04-24
corn_ambrosia,corn,Ambrosia,Zea mays,sweet corn,se (sugar enhanced),75,80,8,8,6,7,14,18,10,30,36,4,Isolate from su/sh2/field by 200+ feet or 12+ days,fresh eating; freezing,60,F1 hybrid,Tolerant to Stewart's Wilt; good general disease resistance,"Premium bicolor (yellow and white kernels) SE sweet corn. ""Ambrosia is perfect for a wide range of markets, from fresh home-garden use to long-distance shipping"" — per Fedco. 6.5 ft plants with good early vigor. In stressful conditions the tips don't always fill. Flavor named after Greek ""food of the gods."" Beloved by corn tasters — universal consensus favorite.",Fedco; Rupp Seeds; LSU AgCenter; Gardening Chores,"Most popular bicolor SE sweet corn. Names bicolor types often include ""Bicolor"" in variety name.",high,2026-04-24
corn_honey_select,corn,Honey Select,Zea mays,sweet corn,Synergistic (75% se / 25% sh2) — TripleSweet,79,84,8,9,6,7,16,18,10,30,36,4,"For best flavor, isolate from su, sh2, and standard se varieties by 200+ feet or 12+ days",fresh eating; freezing,65,F1 hybrid,Good general resistance; tolerant to Stewart's Wilt,"2001 All-America Selections winner. Yellow synergistic corn combining se tenderness with sh2 extra sweetness and extended shelf life. Award-winning flavor. 16-row 8-9"" ears on 6-7 ft plants. Considered one of the top sweet corns by home gardeners. Keeps well — doesn't need to be eaten immediately like su varieties.",LSU AgCenter; Gardening Chores; Ferry-Morse; Rupp Seeds,Synergistic/TripleSweet category represents newer breeding combining best of se and sh2 traits.,high,2026-04-24
corn_how_sweet_it_is,corn,How Sweet It Is,Zea mays,sweet corn,sh2 (supersweet / shrunken 2),80,87,8,8,5,6,16,18,10,30,36,4,CRITICAL: isolate sh2 from all other corn types by 200-300+ feet or 12-14 days — cross pollination produces starchy tough kernels,fresh eating; freezing; long storage,65,F1 hybrid,Moderate disease resistance; plant later than su/se due to temperature sensitivity,1986 All-America Selections winner — one of the first premier sh2 varieties. 4-10x sugar of standard sweet corn. White kernels. Holds sweetness 10+ days refrigerated. Sh2 seeds germinate poorly in cold soil (65F minimum) — plant 2-3 weeks later than su/se. Sh2 kernels are smaller/shrunken — plant seeds shallow. Very popular for farmers markets because of shelf life.,LSU AgCenter; Park Seed; All-America Selections,Sh2 isolation is CRITICAL — ruined crops from cross-pollination are common failure mode.,high,2026-04-24
corn_incredible,corn,Incredible,Zea mays,sweet corn,se (sugar enhanced),83,87,9,9,7,8,16,18,10,30,36,4,Isolate from su/sh2/field by 200+ feet or 12+ days,fresh eating; freezing,60,F1 hybrid,Good general disease resistance,"Yellow SE with enormous 9"" ears and 18 rows of buttery tender kernels. Very large for an SE. Slightly later than Bodacious (83-87 vs 72). Tall 7-8 ft plants. Heavy producer. Ideal for BBQ and freezing. Well-liked by home gardeners who want big ears.",LSU AgCenter; Agricarehub,Another benchmark SE variety alongside Bodacious — Incredible is the bigger-eared option.,high,2026-04-24
corn_golden_bantam,corn,Golden Bantam,Zea mays,sweet corn,su (normal sugary / heirloom),75,80,5,7,5,6,8,12,10,30,36,4,Isolate from se/sh2 types to preserve heirloom genetics; can cross with field corn,fresh eating; traditional heirloom,55,open-pollinated,Moderate disease resistance; widely adapted,"Introduced by Burpee in 1902 — the variety that made yellow corn popular in America (previously only white corn was considered high quality). Classic old-fashioned sweet corn flavor — nutty, corny, not candy-sweet. Germinates well in cool soil (55F minimum). Converts to starch quickly after harvest — eat same day for peak flavor. Open-pollinated — save seeds. 5-6 ft stalks with 2+ ears each. Heirloom standard.",Ferry-Morse; Wildrose Heritage; Gardening Chores; Baker Creek,Historical significance + cool-soil germination make it the heirloom sweet corn of choice.,high,2026-04-24
corn_hopi_blue,corn,Hopi Blue,Zea mays,flour/flint corn,,100,110,8,10,5,7,10,14,10,30,36,4,Isolate from other corn varieties to preserve color and genetics; 600+ feet between varieties,cornmeal; tortillas; piki bread; fresh eating young; ceremonial,60,open-pollinated heirloom,Drought-tolerant; adapted to arid conditions; may struggle in high humidity,"Traditional staple of the Hopi people in northern Arizona. Deep blue kernels retain color when cooked — distinctive blue tortillas, cornbread, atole. Higher protein than dent corn. Drought and heat tolerant — desert-adapted genetics. 5-7 ft stalks with 1-2 ears each. Can be eaten as sweet corn when very young, or dried for meal. Deep cultural significance — harvest traditionally by pulling (not cutting) ears.",St. Clare Seeds; Territorial Seed; Ujamaa Seeds; Pinetree Garden Seeds,Cultural significance important — acknowledge Hopi origin and ceremonial use.,high,2026-04-24
corn_bloody_butcher,corn,Bloody Butcher,Zea mays,dent corn,,105,120,8,12,10,12,12,14,12,30,36,4,Isolate from other corn by 600+ feet to maintain color,cornmeal; flour; grits; roasting ears young; moonshine; ornamental,60,open-pollinated heirloom,Drought-tolerant; hardy and adaptable,"Pre-1845 heirloom dent corn. Dark red kernels — gruesome name refers to color, not history. Tall 10-12 ft stalks with 2 ears per plant. Main uses: cornmeal and flour; also tastes good roasted fresh when young. Drought-tolerant. Beautiful ornamental use in fall decor. Popular moonshine and whiskey corn. Classic Appalachian variety.",St. Clare Seeds; Rich Farm Garden; Thresh Seed Co,Name refers to striking color; one of the oldest documented dent corn varieties.,high,2026-04-24
